accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_230890		nucleus - chromatin
TGGT1_230960		nucleus - non-chromatin
TGGT1_231000		PM - integral
TGGT1_231040		nucleus - non-chromatin
TGGT1_231080	RPL38	60S ribosome
TGGT1_231140	RPS25	40S ribosome
TGGT1_231170		nucleus - non-chromatin
TGGT1_231190		cytosol
TGGT1_231370		apicoplast
TGGT1_231410	ICAP2	mitochondrion - membranes
TGGT1_231430		ER
TGGT1_231440		nucleus - non-chromatin
TGGT1_231480		cytosol
TGGT1_231600		cytosol
TGGT1_231630	IMC4	IMC
TGGT1_231640	IMC1	IMC
TGGT1_231850		cytosol
TGGT1_231890		apicoplast
TGGT1_231920		cytosol
TGGT1_231940		cytosol
TGGT1_231970	PRP8	nucleus - non-chromatin
TGGT1_232030	IMC21	IMC
TGGT1_232050		ER
TGGT1_232180		ER
TGGT1_232190		nucleus - chromatin
TGGT1_232230	RPL30	60S ribosome
TGGT1_232250		cytosol
TGGT1_232340		cytosol
TGGT1_232350	LDH1	cytosol
TGGT1_232370		nucleus - chromatin
TGGT1_232380		nucleolus
TGGT1_232390		nucleolus
TGGT1_232410	TrxL1	tubulin cytoskeleton
TGGT1_232440	BRF1	nucleus - chromatin
TGGT1_232520		nucleus - non-chromatin
TGGT1_232660	HIP	cytosol
TGGT1_232710	RPS3A	40S ribosome
TGGT1_232720		nucleus - non-chromatin
TGGT1_232730		ER
TGGT1_232815		mitochondrion - soluble
TGGT1_233110	IMPDH	cytosol
TGGT1_233130		PM - integral
TGGT1_233140		cytosol
TGGT1_233190		nucleus - non-chromatin
TGGT1_233230		nucleus - non-chromatin
TGGT1_233260		cytosol
TGGT1_233350		cytosol
TGGT1_233400		cytosol
TGGT1_233410		nucleus - non-chromatin
TGGT1_233450	SRS29A/SRS1	PM - peripheral 1
TGGT1_233520		nucleus - non-chromatin
TGGT1_233540		PM - integral
TGGT1_233680		cytosol
TGGT1_233810		ER
TGGT1_233860		apicoplast
TGGT1_234190		cytosol
TGGT1_234360		nucleus - chromatin
TGGT1_234410		PM - integral
TGGT1_234420		mitochondrion - membranes
TGGT1_234450	RPS15A	40S ribosome
TGGT1_234505		cytosol
TGGT1_234520		nucleus - non-chromatin
TGGT1_234610		nucleolus
TGGT1_234900		nucleus - chromatin
TGGT1_234970	TKL2	nucleus - chromatin
TGGT1_235020		cytosol
TGGT1_235150		PM - integral
TGGT1_235170		nucleus - chromatin
TGGT1_235340	ISC1	IMC
TGGT1_235450		cytosol
TGGT1_235470	MYOA	IMC
TGGT1_235540		cytosol
TGGT1_235700		cytosol
TGGT1_235750		PM - integral
TGGT1_235880		mitochondrion - membranes
TGGT1_235930		nucleus - non-chromatin
TGGT1_235970		cytosol
TGGT1_236040	ADL	cytosol
TGGT1_236110		nucleus - chromatin
TGGT1_236130		cytosol
TGGT1_236250		mitochondrion - soluble
TGGT1_236540		nucleus - non-chromatin
TGGT1_236570		cytosol
TGGT1_236620		nucleus - chromatin
TGGT1_236640		ER
TGGT1_236650	DDX17	nucleus - non-chromatin
TGGT1_236840	ZNF2	nucleus - chromatin
TGGT1_236910		nucleus - non-chromatin
TGGT1_236970		nucleus - chromatin
TGGT1_237000		cytosol
TGGT1_237110		nucleus - chromatin
TGGT1_237140		cytosol
TGGT1_237150		ER
TGGT1_237200		ER
TGGT1_237470		mitochondrion - soluble
TGGT1_237820	ISP2	IMC
TGGT1_237890	CDPK4	PM - peripheral 2
TGGT1_238010	RPL23A	60S ribosome
TGGT1_238040		ER
TGGT1_238050	SND1	nucleus - non-chromatin
TGGT1_238070		cytosol
TGGT1_238180		19S proteasome
TGGT1_238190	POLR2C	nucleus - non-chromatin
TGGT1_238240		nucleus - non-chromatin
TGGT1_238250	RPL36	60S ribosome
TGGT1_238400		nucleus - chromatin
TGGT1_238940		cytosol
TGGT1_239020		PM - integral
TGGT1_239100	RPS7	40S ribosome
TGGT1_239260	H4	nucleus - chromatin
TGGT1_239310		cytosol
TGGT1_239320		apicoplast
TGGT1_239330	RPL37	60S ribosome
TGGT1_239490		mitochondrion - soluble
TGGT1_239500		20S proteasome
TGGT1_239530		cytosol
TGGT1_239540		PM - integral
TGGT1_239590		nucleolus
TGGT1_239620		cytosol
TGGT1_239630		cytosol
TGGT1_239710		cytosol
TGGT1_239760	RPL22	60S ribosome
